0,0.727777,0.218742,0.424414,1.5477,0.0149843,1.62751,
0.002113,0.727779,0.218714,0.424426,1.54768,0.0151138,1.62756,
0.0046172,0.727781,0.218693,0.424449,1.54764,0.0151422,1.62778,
0.0070952,0.727783,0.218672,0.424466,1.5476,0.0151339,1.62793,
0.0092324,0.727789,0.218635,0.424488,1.54756,0.0151126,1.62816,
0.0123088,0.727794,0.218612,0.424503,1.54754,0.0151218,1.6283,
0.0141446,0.727798,0.218591,0.424518,1.54751,0.0151329,1.62845,
0.016482,0.727803,0.218557,0.424543,1.54747,0.0152079,1.62865,
0.0185494,0.727805,0.218531,0.424564,1.54744,0.0152538,1.62878,
0.0209534,0.727808,0.218502,0.424584,1.54741,0.0153177,1.6289,
0.0230206,0.727811,0.218471,0.424604,1.54737,0.0153657,1.62902,
0.0251913,0.727813,0.218436,0.424632,1.54733,0.0154395,1.62922,
0.0275108,0.727812,0.218424,0.424652,1.54729,0.0155018,1.62936,
0.0299226,0.727813,0.218413,0.424663,1.54728,0.0155507,1.62952,
0.0319274,0.727814,0.2184,0.424673,1.54726,0.0155973,1.62966,
0.0340677,0.727819,0.218396,0.424675,1.54727,0.0156637,1.62982,
0.0363101,0.727818,0.218382,0.424691,1.54725,0.0157136,1.63005,
0.0388365,0.727816,0.21838,0.424702,1.54724,0.0157274,1.63023,
0.0409702,0.727813,0.218379,0.424711,1.54723,0.0157225,1.63041,
0.0430474,0.727812,0.218384,0.424718,1.54722,0.0157049,1.63061,
0.0452204,0.727812,0.218397,0.424725,1.54721,0.0156984,1.6309,
0.0475005,0.727812,0.218405,0.424725,1.54721,0.0156985,1.63109,
0.0496776,0.727812,0.218417,0.424723,1.54722,0.0157056,1.63128,
0.0518922,0.727812,0.218431,0.42472,1.54723,0.0157221,1.63148,
0.0542108,0.727812,0.218445,0.424719,1.54724,0.0157466,1.63167,
0.0563582,0.727809,0.218469,0.424718,1.54724,0.0157938,1.63197,
0.0585508,0.727807,0.218486,0.424718,1.54725,0.0158391,1.63216,
0.0608247,0.727805,0.218501,0.424718,1.54725,0.0158878,1.63234,
0.0630346,0.727804,0.218515,0.424718,1.54725,0.015947,1.63252,
0.0652384,0.727799,0.218545,0.424721,1.54724,0.0160508,1.63281,
0.0674606,0.727802,0.218552,0.424714,1.54726,0.0160891,1.63299,
0.0699132,0.727803,0.218569,0.42471,1.54727,0.016121,1.6332,
0.0719654,0.727804,0.218588,0.424706,1.54728,0.0161679,1.6334,
0.0740997,0.727805,0.218609,0.424702,1.5473,0.0161825,1.63362,
0.0763731,0.727806,0.21864,0.424698,1.54731,0.0162123,1.63394,
0.0785394,0.727806,0.21866,0.424695,1.54732,0.0162447,1.63414,
0.0808781,0.727807,0.218678,0.424693,1.54733,0.0162605,1.63435,
0.0829837,0.727808,0.218698,0.42469,1.54734,0.0162796,1.63456,
0.085292,0.72781,0.218715,0.424688,1.54735,0.0163,1.63476,
0.0875066,0.727812,0.21874,0.424683,1.54736,0.0163171,1.63506,
0.0898926,0.727814,0.218752,0.42468,1.54738,0.0163315,1.63526,
0.0919382,0.727817,0.21876,0.424677,1.54739,0.0163747,1.63543,
0.0940794,0.727819,0.218768,0.424677,1.54739,0.0163969,1.63561,
0.096329,0.727822,0.218777,0.424679,1.5474,0.0164742,1.63588,
0.098532,0.727824,0.218782,0.424683,1.5474,0.0165141,1.63607,
0.100963,0.727826,0.218787,0.424688,1.54739,0.0165812,1.63625,
0.103371,0.72783,0.218791,0.424697,1.54738,0.0166881,1.63652,
0.105562,0.727832,0.218796,0.424704,1.54738,0.016752,1.63671,
0.10787,0.727835,0.218796,0.424711,1.54738,0.0168181,1.63688,
0.110009,0.727837,0.218801,0.424719,1.54737,0.0168495,1.63707,
0.11216,0.72784,0.218804,0.424727,1.54736,0.0168954,1.63726,
0.11447,0.727844,0.21881,0.424741,1.54735,0.0169191,1.63755,
0.116921,0.727848,0.21881,0.424751,1.54733,0.0169538,1.63773,
0.118925,0.727853,0.218807,0.424762,1.54732,0.016965,1.63791,
0.121061,0.727858,0.218801,0.424773,1.5473,0.0169979,1.63807,
0.123333,0.727864,0.218793,0.424795,1.54727,0.0170217,1.63831,
0.125521,0.727865,0.218793,0.424813,1.54725,0.0170254,1.63849,
0.127953,0.727865,0.218795,0.424833,1.54721,0.0170303,1.63866,
0.129928,0.727863,0.218801,0.424855,1.54718,0.0170563,1.63885,
